Title,Link,pubDate,Description,Source,Tag
AutoML-ID: automated machine learning model for intrusion detection using wireless sensor network | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13061-z,5/31/2022,AutoML-ID: automated machine learning model for intrusion detection using wireless sensor network | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-RL
Protected-area targets could be undermined by climate change-driven shifts in ecoregions and biomes | Communications Earth & Environment - Nature.com,https://www.nature.com/articles/s43247-021-00270-z,9/29/2021,Protected-area targets could be undermined by climate change-driven shifts in ecoregions and biomes | Communications Earth & Environment&nbsp;&nbsp;Nature.com,Nature.com,AI-RL
Conservation opportunities and challenges in Brazil's roadless and railroad-less areas - Science,https://www.science.org/doi/10.1126/sciadv.abi5548,3/4/2022,Conservation opportunities and challenges in Brazil's roadless and railroad-less areas&nbsp;&nbsp;Science,Science,AI-RL
Biodiversity and infrastructure interact to drive tourism to and within Costa Rica | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2107662119,3/4/2022,Biodiversity and infrastructure interact to drive tourism to and within Costa Rica | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org,AI-RL
Epidural anesthesia needle guidance by forward-view endoscopic optical coherence tomography and deep learning | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12950-7,5/31/2022,Epidural anesthesia needle guidance by forward-view endoscopic optical coherence tomography and deep learning | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-RL
The effects of embodying wildlife in virtual reality on conservation behaviors | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-10268-y,4/19/2022,The effects of embodying wildlife in virtual reality on conservation behaviors | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-RL
"Identifying conservation technology needs, barriers, and opportunities | Scientific Reports - Nature.com",https://www.nature.com/articles/s41598-022-08330-w,3/21/2022,"Identifying conservation technology needs, barriers, and opportunities | Scientific Reports&nbsp;&nbsp;Nature.com",Nature.com,AI-RL
"Civil Society Organizations Brief the Committee on the Elimination of Discrimination against Women on the Situation of Women in Türkiye, Portugal, Azerbaijan and Namibia - OHCHR",https://www.ohchr.org/en/press-releases/2022/06/civil-society-organizations-brief-committee-elimination-discrimination,6/13/2022,"Civil Society Organizations Brief the Committee on the Elimination of Discrimination against Women on the Situation of Women in Türkiye, Portugal, Azerbaijan and Namibia&nbsp;&nbsp;OHCHR",OHCHR,AI-RL
Yellow fever surveillance suggests zoonotic and anthroponotic emergent potential | Communications Biology - Nature.com,https://www.nature.com/articles/s42003-022-03492-9,6/2/2022,Yellow fever surveillance suggests zoonotic and anthroponotic emergent potential | Communications Biology&nbsp;&nbsp;Nature.com,Nature.com,AI-RL
Counting on U training to enhance trusting relationships and mental health literacy among business advisors: protocol for a randomised controlled trial - BMC Psychiatry - BMC Psychiatry,https://bmcpsychiatry.biomedcentral.com/articles/10.1186/s12888-022-04034-7,6/15/2022,Counting on U training to enhance trusting relationships and mental health literacy among business advisors: protocol for a randomised controlled trial - BMC Psychiatry&nbsp;&nbsp;BMC Psychiatry,BMC Psychiatry,AI-RL
"Community: Washington Art Association to celebrate 70 years, more news - CT Insider",https://www.ctinsider.com/newmilford/article/Community-Washington-Art-Association-to-17221181.php,6/6/2022,"Community: Washington Art Association to celebrate 70 years, more news&nbsp;&nbsp;CT Insider",CT Insider,AI-RL
"Breakfast skipping and its relationship with academic performance in Ethiopian school-aged children, 2019 - BMC Nutrition - BioMed Central",https://bmcnutr.biomedcentral.com/articles/10.1186/s40795-022-00545-4,6/1/2022,"Breakfast skipping and its relationship with academic performance in Ethiopian school-aged children, 2019 - BMC Nutrition&nbsp;&nbsp;BioMed Central",BioMed Central,AI-RL
"Fishing activity before closure, during closure, and after reopening of the Northeast Canyons and Seamounts Marine National Monument | Scientific Reports - Nature.com",https://www.nature.com/articles/s41598-021-03394-6,1/18/2022,"Fishing activity before closure, during closure, and after reopening of the Northeast Canyons and Seamounts Marine National Monument | Scientific Reports&nbsp;&nbsp;Nature.com",Nature.com,AI-RL
Predicted wind and solar energy expansion has minimal overlap with multiple conservation priorities across global regions | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2104764119,2/28/2022,Predicted wind and solar energy expansion has minimal overlap with multiple conservation priorities across global regions | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org,AI-RL
Hanging out with bats to discover the secrets of their biology - Verve Times,https://vervetimes.com/hanging-out-with-bats-to-discover-the-secrets-of-their-biology/,6/14/2022,Hanging out with bats to discover the secrets of their biology&nbsp;&nbsp;Verve Times,Verve Times,AI-RL
Seeing The Forest For The Trees - Seeking Alpha,https://seekingalpha.com/article/4515119-seeing-the-forest-for-the-trees,5/28/2022,Seeing The Forest For The Trees&nbsp;&nbsp;Seeking Alpha,Seeking Alpha,AI-RL
Sex differences in carotid plaques | IJWH - Dove Medical Press,https://www.dovepress.com/sex-related-differences-in-the-incidence-and-development-of-carotid-pl-peer-reviewed-fulltext-article-IJWH,6/15/2022,Sex differences in carotid plaques | IJWH&nbsp;&nbsp;Dove Medical Press,Dove Medical Press,AI-RL
