Title,Link,pubDate,Description,Source,Tag
The Society for Conservation Biology - Wiley,https://conbio.onlinelibrary.wiley.com/doi/10.1111/csp2.12743,6/7/2022,The Society for Conservation Biology&nbsp;&nbsp;Wiley,Wiley,AI-RL
AutoML-ID: automated machine learning model for intrusion detection using wireless sensor network | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13061-z,5/31/2022,AutoML-ID: automated machine learning model for intrusion detection using wireless sensor network | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-RL
Protected-area targets could be undermined by climate change-driven shifts in ecoregions and biomes | Communications Earth & Environment - Nature.com,https://www.nature.com/articles/s43247-021-00270-z,9/29/2021,Protected-area targets could be undermined by climate change-driven shifts in ecoregions and biomes | Communications Earth & Environment&nbsp;&nbsp;Nature.com,Nature.com,AI-RL
Conservation opportunities and challenges in Brazil's roadless and railroad-less areas - Science,https://www.science.org/doi/10.1126/sciadv.abi5548,3/4/2022,Conservation opportunities and challenges in Brazil's roadless and railroad-less areas&nbsp;&nbsp;Science,Science,AI-RL
"Civil Society Organizations Brief the Committee on the Elimination of Discrimination against Women on the Situation of Women in Türkiye, Portugal, Azerbaijan and Namibia - OHCHR",https://www.ohchr.org/en/press-releases/2022/06/civil-society-organizations-brief-committee-elimination-discrimination,6/13/2022,"Civil Society Organizations Brief the Committee on the Elimination of Discrimination against Women on the Situation of Women in Türkiye, Portugal, Azerbaijan and Namibia&nbsp;&nbsp;OHCHR",OHCHR,AI-RL
Biodiversity and infrastructure interact to drive tourism to and within Costa Rica | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2107662119,3/4/2022,Biodiversity and infrastructure interact to drive tourism to and within Costa Rica | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org,AI-RL
The effects of embodying wildlife in virtual reality on conservation behaviors | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-10268-y,4/19/2022,The effects of embodying wildlife in virtual reality on conservation behaviors | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-RL
"Identifying conservation technology needs, barriers, and opportunities | Scientific Reports - Nature.com",https://www.nature.com/articles/s41598-022-08330-w,3/21/2022,"Identifying conservation technology needs, barriers, and opportunities | Scientific Reports&nbsp;&nbsp;Nature.com",Nature.com,AI-RL
Hanging out with bats to discover the secrets of their biology - Verve Times,https://vervetimes.com/hanging-out-with-bats-to-discover-the-secrets-of-their-biology/,6/14/2022,Hanging out with bats to discover the secrets of their biology&nbsp;&nbsp;Verve Times,Verve Times,AI-RL
Investigating the benthic megafauna in the eastern Clarion Clipperton Fracture Zone (north-east Pacific) based on distribution models predicted with random forest | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12323-0,5/17/2022,Investigating the benthic megafauna in the eastern Clarion Clipperton Fracture Zone (north-east Pacific) based on distribution models predicted with random forest | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-RL
Epidural anesthesia needle guidance by forward-view endoscopic optical coherence tomography and deep learning | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12950-7,5/31/2022,Epidural anesthesia needle guidance by forward-view endoscopic optical coherence tomography and deep learning | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-RL
Yellow fever surveillance suggests zoonotic and anthroponotic emergent potential | Communications Biology - Nature.com,https://www.nature.com/articles/s42003-022-03492-9,6/2/2022,Yellow fever surveillance suggests zoonotic and anthroponotic emergent potential | Communications Biology&nbsp;&nbsp;Nature.com,Nature.com,AI-RL
