Title,Link,pubDate,Description,Source,Tag
Nacora Insurance Brokers Launches Integrated Marine Habitat Protection Model in Commercial Insurance - American Journal of Transportation,https://ajot.com/news/nacora-insurance-brokers-launches-integrated-marine-habitat-protection-model-in-commercial-insurance,6/9/2022,Nacora Insurance Brokers Launches Integrated Marine Habitat Protection Model in Commercial Insurance&nbsp;&nbsp;American Journal of Transportation,American Journal of Transportation,AI-LTS
Belledune Port Authority reports 2021 fiscal year results - Dry Bulk,https://www.drybulkmagazine.com/ports-terminals/14062022/belledune-port-authority-reports-2021-fiscal-year-results/,6/14/2022,Belledune Port Authority reports 2021 fiscal year results&nbsp;&nbsp;Dry Bulk,Dry Bulk,AI-LTS
Ecuador's energy investment drive targets renewables – and fossil fuels - Diálogo Chino,https://dialogochino.net/en/climate-energy/54913-ecuadors-energy-investment-drive-targets-renewables-and-fossil-fuels/,6/13/2022,Ecuador's energy investment drive targets renewables – and fossil fuels&nbsp;&nbsp;Diálogo Chino,Diálogo Chino,AI-LTS
Proposed copper and gold mine threatens the world's 'second Amazon' in PNG - Mongabay.com,https://news.mongabay.com/2022/06/proposed-copper-and-gold-mine-threatens-the-worlds-second-amazon-in-png/,6/13/2022,Proposed copper and gold mine threatens the world's 'second Amazon' in PNG&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
Tribunal orders Town of Canmore to allow Three Sisters Mountain Village projects to move forward - CBC.ca,https://www.cbc.ca/news/canada/calgary/three-sisters-smith-creek-canmore-1.6457360,5/17/2022,Tribunal orders Town of Canmore to allow Three Sisters Mountain Village projects to move forward&nbsp;&nbsp;CBC.ca,CBC.ca,AI-LTS
Oxygen Scavenger Global Market Report 2022 - Yahoo Finance,https://finance.yahoo.com/news/oxygen-scavenger-global-market-report-082500720.html,6/10/2022,Oxygen Scavenger Global Market Report 2022&nbsp;&nbsp;Yahoo Finance,Yahoo Finance,AI-LTS
Head of People and Organisational Development - recruitment pack - Scottish Natural Heritage,https://www.nature.scot/doc/head-people-and-organisational-development-recruitment-pack,5/25/2022,Head of People and Organisational Development - recruitment pack&nbsp;&nbsp;Scottish Natural Heritage,Scottish Natural Heritage,AI-LTS
"Grenada: Maritime Economy Plan, March 2021 - GOV.UK",https://www.gov.uk/government/publications/commonwealth-marine-economies-cme-programme-grenada/grenada-maritime-economy-plan-march-2021,5/18/2022,"Grenada: Maritime Economy Plan, March 2021&nbsp;&nbsp;GOV.UK",GOV.UK,AI-LTS
"Ross Saxton: Look to land conservation, not new hunting laws, to protect wildlife - vtdigger.org",https://vtdigger.org/2022/04/18/ross-saxton-look-to-land-conservation-not-new-hunting-laws-to-protect-wildlife/,4/18/2022,"Ross Saxton: Look to land conservation, not new hunting laws, to protect wildlife&nbsp;&nbsp;vtdigger.org",vtdigger.org,AI-LTS
Envisioning a resilient future for biodiversity conservation in the wake of the COVID‐19 pandemic - Wiley,https://besjournals.onlinelibrary.wiley.com/doi/10.1002/pan3.10262,9/28/2021,Envisioning a resilient future for biodiversity conservation in the wake of the COVID‐19 pandemic&nbsp;&nbsp;Wiley,Wiley,AI-LTS
World Wildlife Day: Recovering Key Species for Ecosystem Restoration - EARTH.ORG,https://earth.org/world-wildlife-day-recovering-key-species-for-ecosystem-restoration/,3/3/2022,World Wildlife Day: Recovering Key Species for Ecosystem Restoration&nbsp;&nbsp;EARTH.ORG,EARTH.ORG,AI-LTS
Biomass co-firing: Why India's target for coal power plants is challenging - Down To Earth Magazine,https://www.downtoearth.org.in/news/energy/biomass-co-firing-why-india-s-target-for-coal-power-plants-is-challenging-83261,6/13/2022,Biomass co-firing: Why India's target for coal power plants is challenging&nbsp;&nbsp;Down To Earth Magazine,Down To Earth Magazine,AI-LTS
VIETNAM NEWS HEADLINES JUNE 14 - VietNamNet,https://vietnamnet.vn/en/vietnam-news-headlines-june-14-2030095.html,6/14/2022,VIETNAM NEWS HEADLINES JUNE 14&nbsp;&nbsp;VietNamNet,VietNamNet,AI-LTS
Walter Medwid: Refocus Fish & Wildlife mandate so it’s on conservation - vtdigger.org,https://vtdigger.org/2022/04/13/walter-medwid-refocus-fish-wildlife-mandate-so-its-on-conservation/,4/13/2022,Walter Medwid: Refocus Fish & Wildlife mandate so it’s on conservation&nbsp;&nbsp;vtdigger.org,vtdigger.org,AI-LTS
Conservation opportunities and challenges in Brazil's roadless and railroad-less areas - Science,https://www.science.org/doi/10.1126/sciadv.abi5548,3/4/2022,Conservation opportunities and challenges in Brazil's roadless and railroad-less areas&nbsp;&nbsp;Science,Science,AI-LTS
"Identifying conservation technology needs, barriers, and opportunities | Scientific Reports - Nature.com",https://www.nature.com/articles/s41598-022-08330-w,3/21/2022,"Identifying conservation technology needs, barriers, and opportunities | Scientific Reports&nbsp;&nbsp;Nature.com",Nature.com,AI-LTS
What are NFTs and can they help wildlife conservation? - BBC Discover Wildlife,https://www.discoverwildlife.com/people/nfts-guide-wildlife-conservation-charities-funds/,2/26/2022,What are NFTs and can they help wildlife conservation?&nbsp;&nbsp;BBC Discover Wildlife,BBC Discover Wildlife,AI-LTS
Slender-snouted crocodile savior: Q&A with Whitley Award winner Emmanuel Amoah - Mongabay.com,https://news.mongabay.com/2022/05/the-slender-snouted-crocodile-savior-qa-with-whitley-award-winner-emmanuel-amoah/,5/13/2022,Slender-snouted crocodile savior: Q&amp;A with Whitley Award winner Emmanuel Amoah&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
5 Reasons Why Conservation Efforts Need to Support Community Livelihoods in the Decade Ahead - EARTH.ORG,https://earth.org/why-conservation-efforts-need-to-support-community-livelihoods/,7/29/2021,5 Reasons Why Conservation Efforts Need to Support Community Livelihoods in the Decade Ahead&nbsp;&nbsp;EARTH.ORG,EARTH.ORG,AI-LTS
Black Bear Finance Launches DeFi and GameFi Platform to Fund Wildlife Conservation - Coinspeaker,https://www.coinspeaker.com/black-bear-finance-defi-gamefi-platform-fund-wildlife-conservation/,4/8/2022,Black Bear Finance Launches DeFi and GameFi Platform to Fund Wildlife Conservation&nbsp;&nbsp;Coinspeaker,Coinspeaker,AI-LTS
How Nature Becomes a Casualty of War - The New York Times,https://www.nytimes.com/2022/04/13/science/war-environmental-impact-ukraine.html,4/21/2022,How Nature Becomes a Casualty of War&nbsp;&nbsp;The New York Times,The New York Times,AI-LTS
"Getting African grasslands right, for people and wildlife alike: Q&A with Susanne Vetter - Mongabay.com",https://news.mongabay.com/2021/12/getting-african-grasslands-right-for-people-and-wildlife-alike-qa-with-susanne-vetter/,12/31/2021,"Getting African grasslands right, for people and wildlife alike: Q&amp;A with Susanne Vetter&nbsp;&nbsp;Mongabay.com",Mongabay.com,AI-LTS
Advocates call for a new human rights-based approach to conservation - Mongabay.com,https://news.mongabay.com/2021/10/advocates-call-for-a-new-human-rights-based-approach-to-conservation/,10/12/2021,Advocates call for a new human rights-based approach to conservation&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-LTS
