Title,Link,pubDate,Description,Source,Query,Alexa Rank
Satellite remote sensing could predict spotted lanternfly spread - Purdue University,https://www.purdue.edu/newsroom/releases/2022/Q2/satellite-remote-sensing-could-predict-spotted-lanternfly-spread.html,2022/05/25,Satellite remote sensing could predict spotted lanternfly spread&nbsp;&nbsp;Purdue University,Purdue University,Remote Sensing,
SPIE Journal of Applied Remote Sensing honors best papers published in 2021 - Novus Light Technologies Today,https://www.novuslight.com/spie-journal-of-applied-remote-sensing-honors-best-papers-published-in-2021_N12411.html,2022/06/08,SPIE Journal of Applied Remote Sensing honors best papers published in 2021&nbsp;&nbsp;Novus Light Technologies Today,Novus Light Technologies Today,Remote Sensing,
Studying grassland from space - Phys.org,https://phys.org/news/2022-06-grassland-space.html,2022/06/09,Studying grassland from space&nbsp;&nbsp;Phys.org,Phys.org,Remote Sensing,
"Research Fellow, Ecological Remote Sensing Scientist job with LA TROBE UNIVERSITY | 296719 - Times Higher Education",https://www.timeshighereducation.com/unijobs/listing/296719/research-fellow-ecological-remote-sensing-scientist/?trackid=10&utm_source=the-jobs-service,2022/06/09,"Research Fellow, Ecological Remote Sensing Scientist job with LA TROBE UNIVERSITY | 296719&nbsp;&nbsp;Times Higher Education",Times Higher Education,Remote Sensing,
House armed services panel calls on DoD to buy commercial space technology and data - SpaceNews,https://spacenews.com/house-armed-services-panel-calls-on-dod-to-buy-commercial-space-technology-and-data/,2022/06/08,House armed services panel calls on DoD to buy commercial space technology and data&nbsp;&nbsp;SpaceNews,SpaceNews,Remote Sensing,
Global Remote Sensing Software Market To Be Driven By The Increasing Application Of The Software In The Defence And Homeland Security Sector In The Forecast Period Of 2022-2027 - Digital Journal,https://www.digitaljournal.com/pr/global-remote-sensing-software-market-to-be-driven-by-the-increasing-application-of-the-software-in-the-defence-and-homeland-security-sector-in-the-forecast-period-of-2022-2027,2022/06/08,Global Remote Sensing Software Market To Be Driven By The Increasing Application Of The Software In The Defence And Homeland Security Sector In The Forecast Period Of 2022-2027&nbsp;&nbsp;Digital Journal,Digital Journal,Remote Sensing,
Remote Sensing – The Lookout - The Lookout.org,https://the-lookout.org/category/remote-sensing/,2022/05/14,Remote Sensing – The Lookout&nbsp;&nbsp;The Lookout.org,The Lookout.org,Remote Sensing,
Satellogic Selected as a Finalist by the European Association of Remote Sensing Companies for its “Company Award 2022” - Business Wire,https://www.businesswire.com/news/home/20220607005470/en/Satellogic-Selected-as-a-Finalist-by-the-European-Association-of-Remote-Sensing-Companies-for-its-%E2%80%9CCompany-Award-2022%E2%80%9D,2022/06/07,Satellogic Selected as a Finalist by the European Association of Remote Sensing Companies for its “Company Award 2022”&nbsp;&nbsp;Business Wire,Business Wire,Remote Sensing,
Remote sensing research improves hurricane response - Science Daily,https://www.sciencedaily.com/releases/2022/05/220513134855.htm,2022/05/13,Remote sensing research improves hurricane response&nbsp;&nbsp;Science Daily,Science Daily,Remote Sensing,
HS2 testing artificial and remote sensing technologies for station design - New Civil Engineer,https://www.newcivilengineer.com/latest/hs2-testing-artificial-and-remote-sensing-technologies-for-station-design-08-06-2022/,2022/06/08,HS2 testing artificial and remote sensing technologies for station design&nbsp;&nbsp;New Civil Engineer,New Civil Engineer,Remote Sensing,
Leveraging Commercial Space for Earth and Ocean Remote Sensing - SpaceNews,https://spacenews.com/event/leveraging-commercial-space-for-earth-and-ocean-remote-sensing/,2022/05/12,Leveraging Commercial Space for Earth and Ocean Remote Sensing&nbsp;&nbsp;SpaceNews,SpaceNews,Remote Sensing,
Improving Air Quality with Remote Sensing Technology - AZoSensors,https://www.azosensors.com/article.aspx?ArticleID=2566,2022/05/31,Improving Air Quality with Remote Sensing Technology&nbsp;&nbsp;AZoSensors,AZoSensors,Remote Sensing,
Remote sensing workshop at BGSU | Community | sent-trib.com - Sentinel-Tribune,https://www.sent-trib.com/community/remote-sensing-workshop-at-bgsu/article_1da0dc36-dc28-11ec-a9eb-43a49e8d3f4f.html,2022/05/25,Remote sensing workshop at BGSU | Community | sent-trib.com&nbsp;&nbsp;Sentinel-Tribune,Sentinel-Tribune,Remote Sensing,
Remote sensing can track the availability of flowers for pollinators - ZME Science,https://www.zmescience.com/science/news-science/remote-sensing-can-track-the-availability-of-flowers-for-pollinators/,2022/05/21,Remote sensing can track the availability of flowers for pollinators&nbsp;&nbsp;ZME Science,ZME Science,Remote Sensing,
Drone conference at SUNY ESF explores remote sensing in environmental settings - WAER,https://www.waer.org/news/2022-05-24/drone-conference-at-suny-esf-explores-remote-sensing-in-environmental-settings,2022/05/24,Drone conference at SUNY ESF explores remote sensing in environmental settings&nbsp;&nbsp;WAER,WAER,Remote Sensing,
Build-a-satellite program could fast track national security space missions - EurekAlert,https://www.eurekalert.org/news-releases/955378,2022/06/09,Build-a-satellite program could fast track national security space missions&nbsp;&nbsp;EurekAlert,EurekAlert,Remote Sensing,
UK Statement on Space '2030' at the UN Committee on the Peaceful Uses of Outer Space (COPUOS) - GOV.UK,https://www.gov.uk/government/news/uk-statement-on-space-2030-at-the-un-committee-on-the-peaceful-uses-of-outer-space-copuos,2022/06/09,UK Statement on Space '2030' at the UN Committee on the Peaceful Uses of Outer Space (COPUOS)&nbsp;&nbsp;GOV.UK,GOV.UK,Remote Sensing,
Air lasing: A new tool for atmospheric detection - Phys.org,https://phys.org/news/2022-06-air-lasing-tool-atmospheric.html,2022/06/09,Air lasing: A new tool for atmospheric detection&nbsp;&nbsp;Phys.org,Phys.org,Remote Sensing,
Label-free complete absorption microscopy using second generation photoacoustic remote sensing | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-11235-3,2022/05/19,Label-free complete absorption microscopy using second generation photoacoustic remote sensing | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Remote Sensing,
"US, Thailand sign landmark information exchange agreement > Air Force > Article Display - Air Force Link",https://www.af.mil/News/Article-Display/Article/3057019/us-thailand-sign-landmark-information-exchange-agreement/,2022/06/08,"US, Thailand sign landmark information exchange agreement > Air Force > Article Display&nbsp;&nbsp;Air Force Link",Air Force Link,Remote Sensing,
All-printed soft human-machine interface for robotic physicochemical sensing - Science,https://www.science.org/doi/10.1126/scirobotics.abn0495,2022/06/01,All-printed soft human-machine interface for robotic physicochemical sensing&nbsp;&nbsp;Science,Science,Remote Sensing,
Commercial Satellites Are National Security’s Next Frontier - IEEE Spectrum,https://spectrum.ieee.org/commercial-satellite-imagery-national-security162,2022/06/09,Commercial Satellites Are National Security’s Next Frontier&nbsp;&nbsp;IEEE Spectrum,IEEE Spectrum,Remote Sensing,
Gross polluters and vehicle emissions reduction - Nature.com,https://www.nature.com/articles/s41893-022-00903-x,2022/06/09,Gross polluters and vehicle emissions reduction&nbsp;&nbsp;Nature.com,Nature.com,Remote Sensing,
Incorporation of machine learning and deep neural network approaches into a remote sensing-integrated crop model for the simulation of rice growth | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13232-y,2022/05/30,Incorporation of machine learning and deep neural network approaches into a remote sensing-integrated crop model for the simulation of rice growth | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Remote Sensing,
Interferometry Provides a Basis for LWIR Remote Thermal Imaging - Photonics.com,https://www.photonics.com/Articles/Interferometry_Provides_a_Basis_for_LWIR_Remote/a68090,2022/06/09,Interferometry Provides a Basis for LWIR Remote Thermal Imaging&nbsp;&nbsp;Photonics.com,Photonics.com,Remote Sensing,
PhilSA official elected as president of Outreach Technical Commission of ISPRS - Manila Bulletin,https://mb.com.ph/2022/06/09/philsa-official-elected-as-president-of-outreach-technical-commission-of-isprs/,2022/06/09,PhilSA official elected as president of Outreach Technical Commission of ISPRS&nbsp;&nbsp;Manila Bulletin,Manila Bulletin,Remote Sensing,
Methane emissions detected over offshore platform in the Gulf of Mexico - ESA Science & Technology,https://www.esa.int/Applications/Observing_the_Earth/Methane_emissions_detected_over_offshore_platform_in_the_Gulf_of_Mexico,2022/06/09,Methane emissions detected over offshore platform in the Gulf of Mexico&nbsp;&nbsp;ESA Science & Technology,ESA Science & Technology,Remote Sensing,
"Remote Sensing Satellites Market 2022 Size, Share, Overall Study Report with Top Key Players and Application 2030 - Taiwan News",https://www.taiwannews.com.tw/en/news/4561583,2022/06/05,"Remote Sensing Satellites Market 2022 Size, Share, Overall Study Report with Top Key Players and Application 2030&nbsp;&nbsp;Taiwan News",Taiwan News,Remote Sensing,
Media Alert: Helicopter Will Survey Portions of the Colorado River Basin for Water Studies | US Geological Survey - United States Geological Survey (.gov),https://www.usgs.gov/news/state-news-release/media-alert-helicopter-will-survey-portions-colorado-river-basin-water,2022/06/08,Media Alert: Helicopter Will Survey Portions of the Colorado River Basin for Water Studies | US Geological Survey&nbsp;&nbsp;United States Geological Survey (.gov),United States Geological Survey (.gov),Remote Sensing,
Ghaziabad civic body set to map infra with remote sensing survey - Hindustan Times,https://www.hindustantimes.com/cities/noida-news/ghaziabad-civic-body-set-to-map-infra-with-remote-sensing-survey-101654368390640.html,2022/06/04,Ghaziabad civic body set to map infra with remote sensing survey&nbsp;&nbsp;Hindustan Times,Hindustan Times,Remote Sensing,
How Thermal Infrared Mapping is Monitoring Our World - DirectionsMag.com,https://www.directionsmag.com/article/11536,2022/05/25,How Thermal Infrared Mapping is Monitoring Our World&nbsp;&nbsp;DirectionsMag.com,DirectionsMag.com,Remote Sensing,
