Title,Link,pubDate,Description,Source,Tag
Draganfly Announces New Long Range Lidar System - Geo Week News,https://www.geoweeknews.com/news/draganfly-announces-new-long-range-lidar-system,6/16/2022,Draganfly Announces New Long Range Lidar System&nbsp;&nbsp;Geo Week News,Geo Week News,Sensors-Lidar
Drones and High Resolution Lenses Protect Wildlife Around the World: Quantum Systems and Wilderness International in Peru - DroneLife,https://dronelife.com/2022/06/08/drones-and-high-resolution-lenses-protect-wildlife-around-the-world/,6/8/2022,Drones and High Resolution Lenses Protect Wildlife Around the World: Quantum Systems and Wilderness International in Peru&nbsp;&nbsp;DroneLife,DroneLife,Sensors-Lidar
Wilderness International & Drones For Earth Use Drones To Save Rainforests - CleanTechnica,https://cleantechnica.com/2022/05/30/wilderness-international-drones-for-earth-use-drones-to-save-rainforests/,5/30/2022,Wilderness International & Drones For Earth Use Drones To Save Rainforests&nbsp;&nbsp;CleanTechnica,CleanTechnica,Sensors-Lidar
How lidar hardware and perception software aid OEM differentiation: Sharma - FierceElectronics,https://www.fierceelectronics.com/sensors/how-lidar-hardware-and-perception-software-aid-oem-differentiation-sharma,6/9/2022,How lidar hardware and perception software aid OEM differentiation: Sharma&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Lidar
"How to think, move, act like a farmer with precision autonomous farm tech: Bansal - FierceElectronics",https://www.fierceelectronics.com/sensors/how-think-move-act-farmer-precision-autonomous-farm-tech,6/13/2022,"How to think, move, act like a farmer with precision autonomous farm tech: Bansal&nbsp;&nbsp;FierceElectronics",FierceElectronics,Sensors-Lidar
"Swiss Drone Specialist Partners with GeoSLAM to Power Latest Release, Elios 3 - DirectionsMag.com",https://www.directionsmag.com/pressrelease/11564,5/31/2022,"Swiss Drone Specialist Partners with GeoSLAM to Power Latest Release, Elios 3&nbsp;&nbsp;DirectionsMag.com",DirectionsMag.com,Sensors-Lidar
"Radar experts from Google, Ford, Infineon to explain new Ripple standard at Sensors Converge - FierceElectronics",https://www.fierceelectronics.com/sensors/radar-experts-google-ford-infineon-explain-new-ripple-standard-sensors-converge,6/14/2022,"Radar experts from Google, Ford, Infineon to explain new Ripple standard at Sensors Converge&nbsp;&nbsp;FierceElectronics",FierceElectronics,Sensors-Lidar
IKIN ships holographic ARC terminal with no need for goggles - FierceElectronics,https://www.fierceelectronics.com/sensors/ikin-arc-ships-commercial-holographic-desktop-terminal-no-need-goggles,6/13/2022,IKIN ships holographic ARC terminal with no need for goggles&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Lidar
What are best practices for IoT system security? A listical of sorts - FierceElectronics,https://www.fierceelectronics.com/sensors/what-are-best-practices-iot-system-security-listical-sorts?utm_source=rss&utm_medium=rss&utm_campaign=what-are-best-practices-for-iot-system-security-a-listical-of-sorts,6/15/2022,What are best practices for IoT system security? A listical of sorts&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Lidar
5 expert tips on introducing a smart factory system: Whitley - FierceElectronics,https://www.fierceelectronics.com/sensors/5-expert-tips-introducing-smart-factory-system-whitley,6/10/2022,5 expert tips on introducing a smart factory system: Whitley&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Lidar
"Questar uses AI, predictive analytics to keep fleets on the road - FierceElectronics",https://www.fierceelectronics.com/sensors/questar-uses-ai-predictive-analytics-keep-fleets-road,6/14/2022,"Questar uses AI, predictive analytics to keep fleets on the road&nbsp;&nbsp;FierceElectronics",FierceElectronics,Sensors-Lidar
Photonics applications emerge for agriculture - Laser Focus World,https://www.laserfocusworld.com/detectors-imaging/article/14276564/photonics-applications-emerge-for-agriculture,5/19/2022,Photonics applications emerge for agriculture&nbsp;&nbsp;Laser Focus World,Laser Focus World,Sensors-Lidar
How are Sensors Used in Conservation Efforts? - AZoSensors,https://www.azosensors.com/article.aspx?ArticleID=2414,12/29/2021,How are Sensors Used in Conservation Efforts?&nbsp;&nbsp;AZoSensors,AZoSensors,Sensors-Lidar
Lift Truck Series: Lift truck safety gets proactive with sensors - Modern Materials Handling,https://www.mmh.com/article/lift_truck_safety_gets_proactive_with_sensors,6/7/2022,Lift Truck Series: Lift truck safety gets proactive with sensors&nbsp;&nbsp;Modern Materials Handling,Modern Materials Handling,Sensors-Lidar
Intel shares its vision for battling the quantum security threat - FierceElectronics,https://www.fierceelectronics.com/embedded/intel-shares-its-vision-battling-quantum-security-threat,6/15/2022,Intel shares its vision for battling the quantum security threat&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Lidar
LaMDA IQ debate swirls over who (or what) is tone deaf - FierceElectronics,https://www.fierceelectronics.com/sensors/lamdas-iq-raises-debate-over-who-or-what-tone-deaf,6/13/2022,LaMDA IQ debate swirls over who (or what) is tone deaf&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Lidar
"Wearable shipments drop first time in 1Q except Apple, IDC says - FierceElectronics",https://www.fierceelectronics.com/sensors/wearable-shipments-drop-first-time-1q-except-apple-idc-says,6/7/2022,"Wearable shipments drop first time in 1Q except Apple, IDC says&nbsp;&nbsp;FierceElectronics",FierceElectronics,Sensors-Lidar
Valeo : Press release – Valeo's third generation LiDAR chosen by Stellantis for its level 3 automation capability - Marketscreener.com,https://www.marketscreener.com/quote/stock/VALEO-27891158/news/Valeo-Press-release-ndash-Valeo-s-third-generation-LiDAR-chosen-by-Stellantis-for-its-level-3-au-40715622/,6/14/2022,Valeo : Press release – Valeo's third generation LiDAR chosen by Stellantis for its level 3 automation capability&nbsp;&nbsp;Marketscreener.com,Marketscreener.com,Sensors-Lidar
"Repeated fires are silencing the Amazon, says new acoustic monitoring study - Mongabay.com",https://news.mongabay.com/2022/05/repeated-fires-are-silencing-the-amazon-says-new-acoustic-monitoring-study/,5/26/2022,"Repeated fires are silencing the Amazon, says new acoustic monitoring study&nbsp;&nbsp;Mongabay.com",Mongabay.com,Sensors-Lidar
Revealing microhabitat requirements of an endangered specialist lizard with LiDAR | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-08524-2,3/25/2022,Revealing microhabitat requirements of an endangered specialist lizard with LiDAR | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Lidar
Astrocast acquiring Hiber as IoT M&A activity heats up - FierceElectronics,https://www.fierceelectronics.com/iot-wireless/astrocast-acquiring-hiber-iot-ma-activity-heats,6/6/2022,Astrocast acquiring Hiber as IoT M&amp;A activity heats up&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Lidar
A Lidar's-Eye View of How Forests Are Faring - Eos,https://eos.org/features/a-lidars-eye-view-of-how-forests-are-faring,4/29/2022,A Lidar's-Eye View of How Forests Are Faring&nbsp;&nbsp;Eos,Eos,Sensors-Lidar
UBC experts on flooding and extreme weather - UBC News,https://news.ubc.ca/2022/06/13/ubc-experts-on-flooding-and-extreme-weather-kelowna-state-of-emergency/,6/13/2022,UBC experts on flooding and extreme weather&nbsp;&nbsp;UBC News,UBC News,Sensors-Lidar
‘Mind-Blowing’ Lost City With a Cosmic Link Discovered in the Amazon - VICE,https://www.vice.com/en/article/3abxv5/mind-blowing-lost-city-with-a-cosmic-link-discovered-in-the-amazon,5/26/2022,‘Mind-Blowing’ Lost City With a Cosmic Link Discovered in the Amazon&nbsp;&nbsp;VICE,VICE,Sensors-Lidar
"Vermont Fish & Wildlife's map project wins $100,000 federal grant to help wildlife adapt to climate change - Mountaintimes",https://mountaintimes.info/vermont-fish-wildlifes-map-project-wins-100000-federal-grant-to-help-wildlife-adapt-to-climate-change/,12/1/2021,"Vermont Fish & Wildlife's map project wins $100,000 federal grant to help wildlife adapt to climate change&nbsp;&nbsp;Mountaintimes",Mountaintimes,Sensors-Lidar
Satellites and AI used to measure forests' carbon from space - North Shore News,https://www.nsnews.com/local-news/north-van-firm-looks-to-measure-tree-canopies-from-space-5411760,5/28/2022,Satellites and AI used to measure forests' carbon from space&nbsp;&nbsp;North Shore News,North Shore News,Sensors-Lidar
Why biodiversity—and global collaboration—is more important than it's ever been – The NAU Review - NAU News,https://news.nau.edu/un-biodiversity-lab/,10/20/2021,Why biodiversity—and global collaboration—is more important than it's ever been – The NAU Review&nbsp;&nbsp;NAU News,NAU News,Sensors-Lidar
Arm aims new image signal processor at IoT embedded computer vision apps - FierceElectronics,https://www.fierceelectronics.com/iot-wireless/arm-aims-new-image-signal-processor-iot-embedded-computer-vision-apps,6/8/2022,Arm aims new image signal processor at IoT embedded computer vision apps&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Lidar
