Title,Link,pubDate,Description,Source,Tag
Becoming a Pilot Biologist for the US Fish and Wildlife Service - US Fish and Wildlife Service,https://www.fws.gov/story/becoming-pilot-biologist-us-fish-and-wildlife-service,6/8/2022,Becoming a Pilot Biologist for the US Fish and Wildlife Service&nbsp;&nbsp;US Fish and Wildlife Service,US Fish and Wildlife Service,Sensors-Radio
Responses of free-living horses and bison to a drone assessed in US national park - Horsetalk,https://www.horsetalk.co.nz/2022/05/27/responses-horses-bison-drone-national-park/,5/27/2022,Responses of free-living horses and bison to a drone assessed in US national park&nbsp;&nbsp;Horsetalk,Horsetalk,Sensors-Radio
How Light and Noise Pollution Confound Animals' Senses - The Atlantic,https://www.theatlantic.com/magazine/archive/2022/07/light-noise-pollution-animal-sensory-impact/638446/,6/13/2022,How Light and Noise Pollution Confound Animals' Senses&nbsp;&nbsp;The Atlantic,The Atlantic,Sensors-Radio
"Offshore wind developers, conservation groups collaborate to protect birds - Port City Daily",https://portcitydaily.com/local-news/2022/05/29/offshore-wind-developers-conservation-groups-collaborate-to-protect-birds/,5/29/2022,"Offshore wind developers, conservation groups collaborate to protect birds&nbsp;&nbsp;Port City Daily",Port City Daily,Sensors-Radio
Yellowstone's northern half is unlikely to reopen this summer due to severe flooding - KGOU,https://www.kgou.org/science-technology-and-environment/science-technology-and-environment/2022-06-15/yellowstones-northern-half-is-unlikely-to-reopen-this-summer-due-to-severe-flooding,6/15/2022,Yellowstone's northern half is unlikely to reopen this summer due to severe flooding&nbsp;&nbsp;KGOU,KGOU,Sensors-Radio
"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology - CBC News",https://www.cbc.ca/news/world/galapagos-illegal-fishing-satellite-technology-1.6469424,6/4/2022,"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology&nbsp;&nbsp;CBC News",CBC News,Sensors-Radio
"Protected Areas Don't Always Help Wildlife, Study Shows - Smithsonian Magazine",https://www.smithsonianmag.com/smart-news/protected-areas-dont-always-help-wildlife-study-shows-180979975/,4/25/2022,"Protected Areas Don't Always Help Wildlife, Study Shows&nbsp;&nbsp;Smithsonian Magazine",Smithsonian Magazine,Sensors-Radio
Swimming with sharks and debunking misinformation — all part of the job of a shark scientist - CBC.ca,https://www.cbc.ca/radio/quirks/may-28-flying-salamanders-headbutting-animals-and-brain-damage-undersea-cable-sensors-and-more-1.6467018/swimming-with-sharks-and-debunking-misinformation-all-part-of-the-job-of-a-shark-scientist-1.6467032,5/27/2022,Swimming with sharks and debunking misinformation — all part of the job of a shark scientist&nbsp;&nbsp;CBC.ca,CBC.ca,Sensors-Radio
"Protected areas don’t always benefit wildlife, global study finds - The Guardian",https://www.theguardian.com/environment/2022/apr/20/protected-areas-dont-always-benefit-wildlife-global-study-finds-aoe,4/20/2022,"Protected areas don’t always benefit wildlife, global study finds&nbsp;&nbsp;The Guardian",The Guardian,Sensors-Radio
"Jan. 6 hearing turns to Pence, heat wave continues: 5 Things podcast - USA TODAY",https://www.usatoday.com/story/news/nation/2022/06/16/jan-6-hearing-turns-pence-heat-wave-continues-5-things-podcast/7644875001/,6/16/2022,"Jan. 6 hearing turns to Pence, heat wave continues: 5 Things podcast&nbsp;&nbsp;USA TODAY",USA TODAY,Sensors-Radio
"Tech revolution holds world of promise for conservation, but challenges persist - Mongabay.com",https://news.mongabay.com/2022/02/tech-revolution-holds-world-of-promise-for-conservation-but-challenges-persist/,2/2/2022,"Tech revolution holds world of promise for conservation, but challenges persist&nbsp;&nbsp;Mongabay.com",Mongabay.com,Sensors-Radio
A shining success as golden bandicoots return to the desert - UNSW Newsroom,https://newsroom.unsw.edu.au/news/science-tech/shining-success-golden-bandicoots-return-desert,6/5/2022,A shining success as golden bandicoots return to the desert&nbsp;&nbsp;UNSW Newsroom,UNSW Newsroom,Sensors-Radio
Evaluating the benefits and risks of social media for wildlife conservation - FACETS Journal,https://www.facetsjournal.com/doi/10.1139/facets-2021-0112,3/10/2022,Evaluating the benefits and risks of social media for wildlife conservation&nbsp;&nbsp;FACETS Journal,FACETS Journal,Sensors-Radio
"Linking protected areas from Yellowstone to the Yukon shows the value of conserving large landscapes, not just isolated parks and preserves - The Conversation",https://theconversation.com/linking-protected-areas-from-yellowstone-to-the-yukon-shows-the-value-of-conserving-large-landscapes-not-just-isolated-parks-and-preserves-177501,4/26/2022,"Linking protected areas from Yellowstone to the Yukon shows the value of conserving large landscapes, not just isolated parks and preserves&nbsp;&nbsp;The Conversation",The Conversation,Sensors-Radio
The US has spent more than $2B on a plan to save salmon. The fish are vanishing anyway. - Oregon Public Broadcasting,https://www.opb.org/article/2022/05/24/pacific-northwest-federal-salmon-hatcheries-declining-returns/,5/24/2022,The US has spent more than $2B on a plan to save salmon. The fish are vanishing anyway.&nbsp;&nbsp;Oregon Public Broadcasting,Oregon Public Broadcasting,Sensors-Radio
