Title,Link,pubDate,Description,Source,Tag
"From Spring to Fall, New York Harbor Is a Feeding Ground for Bottlenose Dolphins, a New Study Reveals - InsideClimate News",https://insideclimatenews.org/news/13062022/dolphins-new-york-harbor-feeding/,6/13/2022,"From Spring to Fall, New York Harbor Is a Feeding Ground for Bottlenose Dolphins, a New Study Reveals&nbsp;&nbsp;InsideClimate News",InsideClimate News,Acoustic-Passive
"To conserve the vibrant diversity of Central Africa's forests, include Indigenous people (commentary) - Mongabay.com",https://news.mongabay.com/2022/05/to-conserve-the-vibrant-diversity-of-central-africas-forests-include-indigenous-people-commentary/,5/16/2022,"To conserve the vibrant diversity of Central Africa's forests, include Indigenous people (commentary)&nbsp;&nbsp;Mongabay.com",Mongabay.com,Acoustic-Passive
The influence of sea ice on the detection of bowhead whale calls | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12186-5,5/20/2022,The influence of sea ice on the detection of bowhead whale calls | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Acoustic-Passive
"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology - CBC News",https://www.cbc.ca/news/world/galapagos-illegal-fishing-satellite-technology-1.6469424,6/4/2022,"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology&nbsp;&nbsp;CBC News",CBC News,Acoustic-Passive
Deep-sea 'ears' map migration of fin whales - Australian Antarctic Division,https://www.antarctica.gov.au/news/2022/fin-whale-migration/,5/25/2022,Deep-sea 'ears' map migration of fin whales&nbsp;&nbsp;Australian Antarctic Division,Australian Antarctic Division,Acoustic-Passive
"Podcast: Hippos, manatees, and how the sounds of African wildlife aid their conservation - Mongabay.com",https://news.mongabay.com/2022/02/podcast-hippos-manatees-and-how-the-sounds-of-african-wildlife-aid-their-conservation/,2/23/2022,"Podcast: Hippos, manatees, and how the sounds of African wildlife aid their conservation&nbsp;&nbsp;Mongabay.com",Mongabay.com,Acoustic-Passive
Climate Change Could Affect Where Seychelles' Stingrays Choose To Live - Eurasia Review,https://www.eurasiareview.com/13042022-climate-change-could-affect-where-seychelles-stingrays-choose-to-live/,4/13/2022,Climate Change Could Affect Where Seychelles' Stingrays Choose To Live&nbsp;&nbsp;Eurasia Review,Eurasia Review,Acoustic-Passive
Scientists eavesdrop on wildlife to help protect ecosystems - UChicago News,https://news.uchicago.edu/story/scientists-eavesdrop-wildlife-help-protect-ecosystems,11/11/2021,Scientists eavesdrop on wildlife to help protect ecosystems&nbsp;&nbsp;UChicago News,UChicago News,Acoustic-Passive
World Oceans Day: CMA CGM continues with its commitment to restoring coral reefs - Yahoo Finance,https://finance.yahoo.com/news/world-oceans-day-cma-cgm-130100751.html,6/8/2022,World Oceans Day: CMA CGM continues with its commitment to restoring coral reefs&nbsp;&nbsp;Yahoo Finance,Yahoo Finance,Acoustic-Passive
Song complexity is maintained during inter-population cultural transmission of humpback whale songs | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12784-3,5/30/2022,Song complexity is maintained during inter-population cultural transmission of humpback whale songs | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Acoustic-Passive
