Title,Link,pubDate,Description,Source,Tag
Five ways AI is saving wildlife – from counting chimps to locating whales - The Guardian,https://www.theguardian.com/environment/2022/feb/21/five-ways-ai-is-saving-wildlife-from-counting-chimps-to-locating-whales-aoe,2/21/2022,Five ways AI is saving wildlife – from counting chimps to locating whales&nbsp;&nbsp;The Guardian,The Guardian,AI-Classification
Evaluating the benefits and risks of social media for wildlife conservation - FACETS Journal,https://www.facetsjournal.com/doi/10.1139/facets-2021-0112,3/10/2022,Evaluating the benefits and risks of social media for wildlife conservation&nbsp;&nbsp;FACETS Journal,FACETS Journal,AI-Classification
Pregnancy enables antibody protection against intracellular infection - Nature.com,https://www.nature.com/articles/s41586-022-04816-9,6/8/2022,Pregnancy enables antibody protection against intracellular infection&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
Excessive local host-graft connectivity in aging and amyloid-loaded brain - Science,https://www.science.org/doi/10.1126/sciadv.abg9287,6/10/2022,Excessive local host-graft connectivity in aging and amyloid-loaded brain&nbsp;&nbsp;Science,Science,AI-Classification
Membrane particles evoke a serotype-independent cross-protection against pneumococcal infection that is dependent on the conserved lipoproteins MalX and PrsA | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2122386119,6/1/2022,Membrane particles evoke a serotype-independent cross-protection against pneumococcal infection that is dependent on the conserved lipoproteins MalX and PrsA | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org,AI-Classification
A global reptile assessment highlights shared conservation needs of tetrapods - Nature.com,https://www.nature.com/articles/s41586-022-04664-7,4/27/2022,A global reptile assessment highlights shared conservation needs of tetrapods&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
Investigating the benthic megafauna in the eastern Clarion Clipperton Fracture Zone (north-east Pacific) based on distribution models predicted with random forest | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12323-0,5/17/2022,Investigating the benthic megafauna in the eastern Clarion Clipperton Fracture Zone (north-east Pacific) based on distribution models predicted with random forest | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
A miRNAs catalogue from third-stage larvae and extracellular vesicles of Anisakis pegreffii provides new clues for host-parasite interplay | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13594-3,6/11/2022,A miRNAs catalogue from third-stage larvae and extracellular vesicles of Anisakis pegreffii provides new clues for host-parasite interplay | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
Clarifying the taxonomy of some cryptic blennies (Blenniidae) in their native and introduced range | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12580-z,6/9/2022,Clarifying the taxonomy of some cryptic blennies (Blenniidae) in their native and introduced range | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
"Participation, not penalties: Community involvement and equitable governance contribute to more effective multiuse protected areas - Science",https://www.science.org/doi/10.1126/sciadv.abl8929,5/4/2022,"Participation, not penalties: Community involvement and equitable governance contribute to more effective multiuse protected areas&nbsp;&nbsp;Science",Science,AI-Classification
Are Wildlife Identification Apps Good for Conservation? • The Revelator - The Revelator,https://therevelator.org/wildlife-apps-conservation/,12/8/2021,Are Wildlife Identification Apps Good for Conservation? • The Revelator&nbsp;&nbsp;The Revelator,The Revelator,AI-Classification
The Centres for Disease Control light trap (CDC-LT) and the human decoy trap (HDT) compared to the human landing catch (HLC) for measuring Anopheles biting in rural Tanzania - Malaria Journal - Malaria Journal,https://malariajournal.biomedcentral.com/articles/10.1186/s12936-022-04192-9,6/11/2022,The Centres for Disease Control light trap (CDC-LT) and the human decoy trap (HDT) compared to the human landing catch (HLC) for measuring Anopheles biting in rural Tanzania - Malaria Journal&nbsp;&nbsp;Malaria Journal,Malaria Journal,AI-Classification
A typology of North Sea oil and gas platforms | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-11975-2,5/16/2022,A typology of North Sea oil and gas platforms | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
Dataset Reveals Singapore's Sea-Level History over 10000 Years - OpenGov Asia,https://opengovasia.com/dataset-reveals-singapores-sea-level-history-over-10000-years/,6/13/2022,Dataset Reveals Singapore's Sea-Level History over 10000 Years&nbsp;&nbsp;OpenGov Asia,OpenGov Asia,AI-Classification
Genomic determinants of Furin cleavage in diverse European SARS-related bat coronaviruses | Communications Biology - Nature.com,https://www.nature.com/articles/s42003-022-03421-w,5/30/2022,Genomic determinants of Furin cleavage in diverse European SARS-related bat coronaviruses | Communications Biology&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
Myriapod genomes reveal ancestral horizontal gene transfer and hormonal gene loss in millipedes - Nature.com,https://www.nature.com/articles/s41467-022-30690-0,5/30/2022,Myriapod genomes reveal ancestral horizontal gene transfer and hormonal gene loss in millipedes&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
Neuropathic pain caused by miswiring and abnormal end organ targeting - Nature.com,https://www.nature.com/articles/s41586-022-04777-z,5/25/2022,Neuropathic pain caused by miswiring and abnormal end organ targeting&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
Biodefense Headlines – 29 May 2022 - Global Biodefense,https://globalbiodefense.com/2022/05/29/biodefense-headlines-29-may-2022/,5/29/2022,Biodefense Headlines – 29 May 2022&nbsp;&nbsp;Global Biodefense,Global Biodefense,AI-Classification
Philippine Food-Related MSMEs Receive Digital Business Tools - OpenGov Asia,https://opengovasia.com/philippine-food-related-msmes-receive-digital-business-tools/,6/13/2022,Philippine Food-Related MSMEs Receive Digital Business Tools&nbsp;&nbsp;OpenGov Asia,OpenGov Asia,AI-Classification
Global patterns of raptor distribution and protected areas optimal selection to reduce the extinction crises | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/content/118/37/e2018203118,8/30/2021,Global patterns of raptor distribution and protected areas optimal selection to reduce the extinction crises | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org,AI-Classification
HENSOLDT defence industry developer of Land Air Sea Solutions and Products | Germany German defence industry company UK | Europe defence industry company UK - Army Recognition,https://www.armyrecognition.com/germany_german_defence_industry_company_uk/hensoldt_defence_industry_developer_of_land_air_sea_solutions_and_products.html,6/10/2022,HENSOLDT defence industry developer of Land Air Sea Solutions and Products | Germany German defence industry company UK | Europe defence industry company UK&nbsp;&nbsp;Army Recognition,Army Recognition,AI-Classification
Immune-related genes in AMI | JIR - Dove Medical Press,https://www.dovepress.com/identification-of-immune-related-genes-in-patients-with-acute-myocardi-peer-reviewed-fulltext-article-JIR,6/3/2022,Immune-related genes in AMI | JIR&nbsp;&nbsp;Dove Medical Press,Dove Medical Press,AI-Classification
"Chicago Committed to Digital Equity, Expands Citywide Internet - OpenGov Asia",https://opengovasia.com/chicago-committed-to-digital-equity-expands-citywide-internet/,5/17/2022,"Chicago Committed to Digital Equity, Expands Citywide Internet&nbsp;&nbsp;OpenGov Asia",OpenGov Asia,AI-Classification
Addressing nitrogenous gases from croplands toward low-emission agriculture | npj Climate and Atmospheric Science - Nature.com,https://www.nature.com/articles/s41612-022-00265-3,6/2/2022,Addressing nitrogenous gases from croplands toward low-emission agriculture | npj Climate and Atmospheric Science&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
Predicted wind and solar energy expansion has minimal overlap with multiple conservation priorities across global regions | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2104764119,2/28/2022,Predicted wind and solar energy expansion has minimal overlap with multiple conservation priorities across global regions | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org,AI-Classification
Effectiveness of protection areas in safeguarding biodiversity and ecosystem services in Tibet Autonomous Region | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-021-03653-6,1/21/2022,Effectiveness of protection areas in safeguarding biodiversity and ecosystem services in Tibet Autonomous Region | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
COVID-19 & Other Global Health Issues Virtual Press conference transcript - 17 May 2022 - World Health Organization,https://www.who.int/publications/m/item/covid-19---other-global-health-issues-virtual-press-conference-transcript---17-may-2022,5/17/2022,COVID-19 & Other Global Health Issues Virtual Press conference transcript - 17 May 2022&nbsp;&nbsp;World Health Organization,World Health Organization,AI-Classification
Using Blockchain Technology in Environmental Conservation - EARTH.ORG,https://earth.org/using-blockchain-technology-in-environmental-conservation/,2/28/2022,Using Blockchain Technology in Environmental Conservation&nbsp;&nbsp;EARTH.ORG,EARTH.ORG,AI-Classification
Distribution of invasive versus native whitefly species and their pyrethroid knock-down resistance allele in a context of interspecific hybridization | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12373-4,5/19/2022,Distribution of invasive versus native whitefly species and their pyrethroid knock-down resistance allele in a context of interspecific hybridization | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
CRISPRi chemical genetics and comparative genomics identify genes mediating drug potency in Mycobacterium tuberculosis - Nature.com,https://www.nature.com/articles/s41564-022-01130-y,5/30/2022,CRISPRi chemical genetics and comparative genomics identify genes mediating drug potency in Mycobacterium tuberculosis&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
India Launches National Data and Analytics Platform - OpenGov Asia,https://opengovasia.com/india-launches-national-data-and-analytics-platform/,5/18/2022,India Launches National Data and Analytics Platform&nbsp;&nbsp;OpenGov Asia,OpenGov Asia,AI-Classification
Indonesia to Secures its Digital Landscape – OpenGov Asia - OpenGov Asia,https://opengovasia.com/indonesia-to-secures-its-digital-landscape/,6/1/2022,Indonesia to Secures its Digital Landscape – OpenGov Asia&nbsp;&nbsp;OpenGov Asia,OpenGov Asia,AI-Classification
"Thursday, June 9, 2022 - Kaiser Health News",https://khn.org/morning-briefing/thursday-june-9-2022/,6/9/2022,"Thursday, June 9, 2022&nbsp;&nbsp;Kaiser Health News",Kaiser Health News,AI-Classification
Diurnal biting of malaria mosquitoes in the Central African Republic indicates residual transmission may be “out of control” | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2104282119,5/17/2022,Diurnal biting of malaria mosquitoes in the Central African Republic indicates residual transmission may be “out of control” | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org,AI-Classification
Global forest management data for 2015 at a 100 m resolution | Scientific Data - Nature.com,https://www.nature.com/articles/s41597-022-01332-3,5/10/2022,Global forest management data for 2015 at a 100 m resolution | Scientific Data&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
UniSA Develops First-iIn-Human Trial for Aggressive Brain Tumours - OpenGov Asia,https://opengovasia.com/unisa-develops-first-in-human-trial-aggressive-brain-tumours/,5/17/2022,UniSA Develops First-iIn-Human Trial for Aggressive Brain Tumours&nbsp;&nbsp;OpenGov Asia,OpenGov Asia,AI-Classification
World Environment Day 2022: Technology companies on prioritizing sustainability and driving transformative environmental change - CXOToday.com,https://www.cxotoday.com/news-analysis/world-environment-day-2022-technology-companies-on-prioritizing-sustainability-and-driving-transformative-environmental-change/,6/4/2022,World Environment Day 2022: Technology companies on prioritizing sustainability and driving transformative environmental change&nbsp;&nbsp;CXOToday.com,CXOToday.com,AI-Classification
Pink coral will expand its range up the British coastline due to climate change - Daily Mail,https://www.dailymail.co.uk/sciencetech/article-10860669/Vulnerable-pink-coral-push-UK-coastline-climate-warms-research.html,5/27/2022,Pink coral will expand its range up the British coastline due to climate change&nbsp;&nbsp;Daily Mail,Daily Mail,AI-Classification
Looking for a Unified Approach to Address Cybercrimes in the Philippines - OpenGov Asia,https://opengovasia.com/looking-for-a-unified-approach-to-address-cybercrimes-in-the-philippines/,5/17/2022,Looking for a Unified Approach to Address Cybercrimes in the Philippines&nbsp;&nbsp;OpenGov Asia,OpenGov Asia,AI-Classification
