Title,Link,pubDate,Description,Source,Tag
World Biodiversity Day: Upgraded MARXAN Platform Changes the Nature of Conservation Planning - The Nature Conservancy,https://www.nature.org/en-us/what-we-do/our-insights/perspectives/marxan-microsoft-conservation-planning-platform/,5/19/2022,World Biodiversity Day: Upgraded MARXAN Platform Changes the Nature of Conservation Planning&nbsp;&nbsp;The Nature Conservancy,The Nature Conservancy,IoT-General
IKIN ships holographic ARC terminal with no need for goggles - FierceElectronics,https://www.fierceelectronics.com/sensors/ikin-arc-ships-commercial-holographic-desktop-terminal-no-need-goggles,6/13/2022,IKIN ships holographic ARC terminal with no need for goggles&nbsp;&nbsp;FierceElectronics,FierceElectronics,IoT-General
SG unveils AI app to stop illegal trade of shark and ray fins - FutureIoT,https://futureiot.tech/sg-unveils-ai-app-to-stop-illegal-trade-of-shark-and-ray-fins/,6/9/2022,SG unveils AI app to stop illegal trade of shark and ray fins&nbsp;&nbsp;FutureIoT,FutureIoT,IoT-General
"UP forest dept inks MoU with The Habitats Trust for conservation of wildlife, natural habitat - Hindustan Times",https://www.hindustantimes.com/cities/lucknow-news/up-forest-dept-inks-mou-with-the-habitats-trust-for-conservation-of-wildlife-natural-habitat-101653924595812.html,5/30/2022,"UP forest dept inks MoU with The Habitats Trust for conservation of wildlife, natural habitat&nbsp;&nbsp;Hindustan Times",Hindustan Times,IoT-General
High seas treaty on allocating fish across jurisdictions - The Manila Times,https://www.manilatimes.net/2022/06/11/opinion/columns/high-seas-treaty-on-allocating-fish-across-jurisdictions/1846937,6/10/2022,High seas treaty on allocating fish across jurisdictions&nbsp;&nbsp;The Manila Times,The Manila Times,IoT-General
Huawei Kenya partners with Safaricom and government to support wildlife conservation - Telecompaper EN,https://www.telecompaper.com/news/huawei-kenya-partners-with-safaricom-and-government-to-support-wildlife-conservation--1427012,6/8/2022,Huawei Kenya partners with Safaricom and government to support wildlife conservation&nbsp;&nbsp;Telecompaper EN,Telecompaper EN,IoT-General
The network's role in the retail customer experience - Retail Customer Experience,https://www.retailcustomerexperience.com/blogs/the-networks-role-in-the-retail-customer-experience/,6/14/2022,The network's role in the retail customer experience&nbsp;&nbsp;Retail Customer Experience,Retail Customer Experience,IoT-General
"Academy Award-Winning Producer Nekojarashi and Intertrust Introduce ""Roadstead,"" World's First Digital Rights Managed Media Distribution Platform for Web 3.0 Content Creators - Yahoo Finance",https://finance.yahoo.com/news/academy-award-winning-producer-nekojarashi-130000874.html,6/13/2022,"Academy Award-Winning Producer Nekojarashi and Intertrust Introduce ""Roadstead,"" World's First Digital Rights Managed Media Distribution Platform for Web 3.0 Content Creators&nbsp;&nbsp;Yahoo Finance",Yahoo Finance,IoT-General
Biological diversity: Know 12 species of Nepal that need immediate attention - Online Khabar (English),https://english.onlinekhabar.com/biological-diversity-key-species.html,5/22/2022,Biological diversity: Know 12 species of Nepal that need immediate attention&nbsp;&nbsp;Online Khabar (English),Online Khabar (English),IoT-General
Emerging Marine Monitoring Technologies Enable More Effective Management of Protected Areas - The Pew Charitable Trusts,https://www.pewtrusts.org/research-and-analysis/articles/2021/09/27/emerging-marine-monitoring-technologies-enable-more-effective-management-of-protected-areas,9/27/2021,Emerging Marine Monitoring Technologies Enable More Effective Management of Protected Areas&nbsp;&nbsp;The Pew Charitable Trusts,The Pew Charitable Trusts,IoT-General
