Title,Link,pubDate,Description,Source,Tag
"News at a glance: Webb telescope dinged, U.S.-Russia research paused, and NASA's UFO study - Science",https://www.science.org/content/article/news-glance-webb-telescope-dinged-u-s--russia-research-paused-and-nasa-s-ufo-study,6/16/2022,"News at a glance: Webb telescope dinged, U.S.-Russia research paused, and NASA's UFO study&nbsp;&nbsp;Science",Science,AI-Classification
Monitoring of benthic eukaryotic communities in two tropical coastal lagoons through eDNA metabarcoding: a spatial and temporal approximation | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13653-9,6/16/2022,Monitoring of benthic eukaryotic communities in two tropical coastal lagoons through eDNA metabarcoding: a spatial and temporal approximation | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
Five ways AI is saving wildlife – from counting chimps to locating whales - The Guardian,https://www.theguardian.com/environment/2022/feb/21/five-ways-ai-is-saving-wildlife-from-counting-chimps-to-locating-whales-aoe,2/21/2022,Five ways AI is saving wildlife – from counting chimps to locating whales&nbsp;&nbsp;The Guardian,The Guardian,AI-Classification
Evaluating the benefits and risks of social media for wildlife conservation - FACETS Journal,https://www.facetsjournal.com/doi/10.1139/facets-2021-0112,3/10/2022,Evaluating the benefits and risks of social media for wildlife conservation&nbsp;&nbsp;FACETS Journal,FACETS Journal,AI-Classification
"AI Ethics Shocking Revelation That Training AI To Be Toxic Or Biased Might Be Beneficial, Including For Those Autonomous Self-Driving Cars - Forbes",https://www.forbes.com/sites/lanceeliot/2022/06/15/ai-ethics-shocking-revelation-that-training-ai-to-be-toxic-or-biased-might-be-beneficial-including-for-those-autonomous-self-driving-cars/,6/15/2022,"AI Ethics Shocking Revelation That Training AI To Be Toxic Or Biased Might Be Beneficial, Including For Those Autonomous Self-Driving Cars&nbsp;&nbsp;Forbes",Forbes,AI-Classification
Excessive local host-graft connectivity in aging and amyloid-loaded brain - Science,https://www.science.org/doi/10.1126/sciadv.abg9287,6/10/2022,Excessive local host-graft connectivity in aging and amyloid-loaded brain&nbsp;&nbsp;Science,Science,AI-Classification
A global reptile assessment highlights shared conservation needs of tetrapods - Nature.com,https://www.nature.com/articles/s41586-022-04664-7,4/27/2022,A global reptile assessment highlights shared conservation needs of tetrapods&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
Membrane particles evoke a serotype-independent cross-protection against pneumococcal infection that is dependent on the conserved lipoproteins MalX and PrsA | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2122386119,6/1/2022,Membrane particles evoke a serotype-independent cross-protection against pneumococcal infection that is dependent on the conserved lipoproteins MalX and PrsA | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org,AI-Classification
"Participation, not penalties: Community involvement and equitable governance contribute to more effective multiuse protected areas - Science",https://www.science.org/doi/10.1126/sciadv.abl8929,5/4/2022,"Participation, not penalties: Community involvement and equitable governance contribute to more effective multiuse protected areas&nbsp;&nbsp;Science",Science,AI-Classification
An early warning system for emerging SARS-CoV-2 variants - Nature.com,https://www.nature.com/articles/s41591-022-01836-w,5/30/2022,An early warning system for emerging SARS-CoV-2 variants&nbsp;&nbsp;Nature.com,Nature.com,AI-Classification
